5183869100,采采段子来了,女,陕西 西安,LV 9,信用较好,2014-06-18,,
1029870023,我爱宙斯宇,女,云南 昆明,LV 14,信用较好,2011-04-27,,
1391928021,叶鑫--中原四号,男,广东 汕头,LV 33,信用极好,2010-02-25,verify_yellow,新乐轩酒店行政总监 微博头条文章作者
5361336463,吴为321,男,陕西 西安,LV 4,信用较好,2014-11-06,,
2882583540,宝盖儿女富裕,女,青海 西宁,LV 20,信用较好,2012-07-28,,
5013586680,感受中的温暖,男,上海,LV 9,信用一般,2014-01-27,,
5174967117,老鼠扛刀满街see猫,男,山西 晋中,LV 9,信用较好,2014-06-11,,
5579617962,HelloX_j,男,其他,LV 8,信用较好,2015-04-05,,
1867802140,黑白丛林,男,湖南,LV 20,信用较好,2010-11-03,,
5656850645,憨厚的阳仔1240,男,北京,LV 17,信用较好,2015-07-19,,
3017707001,徐米粒er,女,北京 朝阳区,LV 23,信用较好,2012-10-17,,
3511246254,送你一颗酥心糖,女,其他,LV 14,信用较好,2013-07-05,,
5014233192,Lollipop-f,男,辽宁 大连,LV 14,信用较好,2014-01-27,,
5490172454,尹克伦64,男,辽宁,LV 32,信用极好,2015-01-22,verify_yellow,鞍山市企业战略研究会会长 微博头条文章作者
5563643322,阿飘来了来了,女,福建 泉州,LV 14,信用较好,2015-03-19,,
1391928021,叶鑫--中原四号,男,广东 汕头,LV 33,信用极好,2010-02-25,verify_yellow,新乐轩酒店行政总监 微博头条文章作者
5945778563,超群君君,男,河北 邯郸,LV 7,信用一般,2016-06-05,,
1291815263,陈宫在新,男,山东 威海,LV 38,信用极好,2009-12-27,,
5401997556,晓晓晓晓晓晓雪,女,河北,LV 4,信用一般,2014-12-05,,
6056297729,碗头开花打平伙,男,四川 成都,LV 9,信用一般,2016-10-28,,
5089388780,A_穆雪,女,云南,LV 4,信用一般,2014-03-31,,
6083367286,黑暗萝莉菲菲,女,安徽 铜陵,LV 4,信用较低,2016-12-07,,
2914751027,手机用户2914751027,男,其他,LV 4,信用较好,2012-08-10,,
5124616942,GreatBritainPrime,男,其他,LV 7,信用较好,2014-09-15,,
5580960668,与其感叹路难寻,女,广东 中山,LV 9,信用较好,2015-04-07,,
5580960668,与其感叹路难寻,女,广东 中山,LV 9,信用较好,2015-04-07,,
3386432814,娅君君wYj,女,湖北 武汉,LV 20,信用较好,2013-04-29,,
2167030343,潜在水下深呼吸,男,河北 石家庄,LV 9,信用较好,2011-08-08,,
5368416918,沙岩岩的,女,浙江 宁波,LV 9,信用较好,2014-11-13,,
2496602807,爱吉他的斌斌,女,吉林 延边朝鲜族自治州,LV 30,信用极好,2011-11-28,,
5651886667,吧啦不二,女,四川 成都,LV 9,信用较好,2015-07-13,,
5651886667,吧啦不二,女,四川 成都,LV 9,信用较好,2015-07-13,,
6187379464,zhangfang08177,男,其他,LV 4,信用一般,2017-03-25,,
3009276397,蓝莓冰冰3009276397,女,其他,LV 9,信用较好,2012-10-15,,
1215439652,猫泥马大人,女,上海 徐汇区,LV 25,信用极好,2010-01-04,,
1215439652,猫泥马大人,女,上海 徐汇区,LV 25,信用极好,2010-01-04,,
2314102573,纠-小结,女,辽宁 营口,LV 9,信用较好,2011-08-21,,
3939576457,兔思米,女,辽宁 葫芦岛,LV 9,信用较好,2013-12-13,,
6023487967,生活屁颠屁颠的过865,男,辽宁 大连,LV 4,信用一般,2016-09-14,,
1785250711,韩庚是信仰and沈煜伦是男神,女,山东 烟台,LV 16,信用较好,2010-08-30,,
1583224061,无线迟钝,男,江苏 无锡,LV 28,信用极好,2009-10-22,,
1671217302,INJUNE16,男,海外 美国,LV 25,信用较好,2010-07-23,,
5866669369,丹青妙笔来了,女,浙江 杭州,LV 14,信用一般,2016-02-23,,
2815632373,梁兜兜R,女,辽宁,LV 15,信用较好,2012-08-03,,
5903877411,陈焕新Cc,男,广东 汕尾,LV 9,信用一般,2016-04-21,,
2122423074,会画画的美烨,女,广东 揭阳,LV 12,信用较好,2013-03-17,,
5726814516,列班扫马5555,男,山东 济宁,LV 8,信用较好,2015-10-15,,
1884229974,卖诗琪的小火柴,女,广东 广州,LV 24,信用极好,2010-11-27,,
3771014202,啾尼伯,女,重庆 沙坪坝区,LV 14,信用较好,2013-09-07,,
5811484773,洋口CC,女,浙江 杭州,LV 9,信用较好,2015-12-27,,
3157548961,僵尸吃跳跳糖_,女,云南 大理,LV 14,信用较好,2012-12-02,,
5516595131,Angie-永恒,男,北京 丰台区,LV 18,信用极好,2015-02-11,,
5651886667,吧啦不二,女,四川 成都,LV 9,信用较好,2015-07-13,,
6104272660,连连连玉芬,女,广东 深圳,LV 4,信用一般,2017-01-08,,
1117013155,涂妮子,女,四川 成都,LV 9,信用较好,2013-12-08,,
1420846172,kris洋洋,女,其他,LV 34,信用较好,2010-04-12,,
5090483570,喵玖666,女,新疆 乌鲁木齐,LV 9,信用较好,2014-03-31,,
2241487842,盛夏蔷薇的旅途,女,湖南 长沙,LV 20,信用较好,2011-07-12,,
5722569359,虎妞橙子皮,女,河北 邯郸,LV 9,信用较好,2015-10-10,,
3001996507,起个微博名字真求难-,女,河南 周口,LV 9,信用一般,2012-10-13,,
2689752567,本胖姓李,女,重庆 江北区,LV 14,信用极好,2012-05-05,,
3847731602,防爆菊菊长,男,广东 广州,LV 21,信用较好,2013-10-09,,
6000160212,爱是甜蜜的负担喵,女,河北 邯郸,LV 9,信用一般,2016-08-10,,
5677956036,wuli杨杰小仙女,女,四川 南充,LV 13,信用较好,2015-08-14,,
5247209266,了不起DE老3,男,河南 驻马店,LV 10,信用较好,2014-08-10,,
5247491027,初时相遇i,男,陕西 渭南,LV 14,信用一般,2014-08-10,,
5495777097,时立宁,男,河北 石家庄,LV 13,信用较好,2015-01-25,,
5997619171,李姗姗02500,女,广东,LV 9,信用一般,2016-08-06,,
6082057672,Iam凤梨,女,广西 南宁,LV 7,信用一般,2016-12-16,,
5642427177,ZH向日葵直属省代芳芳,女,广西 柳州,LV 20,信用较好,2015-06-29,,
5337652054,迷茫04036,男,其他,LV 4,信用一般,2014-11-05,,
5305233368,Alisa--ttt,女,上海,LV 14,信用较好,2014-09-24,,
2801632290,阿拉媛丫tou,女,山东 济宁,LV 17,信用极好,2012-05-10,,
5305233368,Alisa--ttt,女,上海,LV 14,信用较好,2014-09-24,,
1853471244,那年七月SU夏天的Mm尾巴eR,女,江苏 南京,LV 30,信用极好,2010-10-14,,
6081929396,我就是我谭谭,女,江苏 扬州,LV 9,信用一般,2016-12-14,,
5861372911,吧唧你喔,女,河南 安阳,LV 8,信用一般,2016-02-18,,
5459741667,用户5459741667,女,四川 成都,LV 14,信用较好,2015-01-02,,
5467610119,再也没有那样的女孩,男,江苏 南京,LV 14,信用较好,2015-01-09,,
3697529322,北斗也是太阳,男,河南 三门峡,LV 7,信用较好,2013-08-05,,
3269193383,我他妈上去就是一脚,女,其他,LV 21,信用较好,2013-04-02,verify_yellow,知名搞笑幽默博主 微博搞笑视频自媒体
5118750316,Y小姐yoya,女,福建 福州,LV 14,信用较好,2014-04-21,,
5786628530,5786628530顺,男,其他,LV 14,信用较好,2015-12-08,,
2313847354,空谷鱻生,男,其他,LV 28,信用极好,2011-08-16,,
1879250723,花子粮,男,北京,LV 36,信用较好,2010-12-01,,
1046729140,那世钢,男,浙江,LV 37,信用极好,2010-05-18,verify_yellow,媒体人
2351427423,咬尾巴的jiudo,男,浙江 舟山,LV 28,信用极好,2011-09-10,,
2640270351,疯子啵波,男,上海 普陀区,LV 22,信用极好,2012-03-01,,
2459377402,胖叔最爱吃猪肉,男,海外,LV 34,信用较好,2011-10-11,,
2201109250,悬壶问茶,男,浙江 宁波,LV 41,信用极好,2011-06-28,verify_yellow,宁波市网络文化协会常务理事 微博头条文章作者 微博签约自媒体
2032734891,日月长照我土999彼岸花开,男,广东 深圳,LV 34,信用较好,2011-03-18,,
1879250723,花子粮,男,北京,LV 36,信用较好,2010-12-01,,
5889086183,纳兰小芸,女,北京,LV 21,信用较好,2016-03-30,,
5997490093,多米米淑,女,浙江,LV 14,信用一般,2016-08-08,,
1879250723,花子粮,男,北京,LV 36,信用较好,2010-12-01,,
2429134341,溪林别鹤,男,其他,LV 25,信用较好,2011-10-27,,
5991821293,弄痛201607,男,四川 南充,LV 4,信用一般,2016-07-27,,
5496140818,深圳呓语,男,广东 东莞,LV 14,信用较好,2015-01-25,,
5142893585,帕米尔骆驼,男,辽宁 丹东,LV 29,信用较好,2014-05-16,,
1908465392,轻弄水墨,女,浙江 宁波,LV 27,信用较好,2010-12-25,verify_yellow,宁波轩航国际物流有限公司副总经理
5142893585,帕米尔骆驼,男,辽宁 丹东,LV 29,信用较好,2014-05-16,,
